iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
473	240	289	240	340	240	289	340
474	240	289	240	340	240	289	340
475	240	289	240	340	240	289	340
476	240	289	240	340	240	289	340
477	240	289	240	340	240	289	340
478	240	289	240	340	240	289	340
479	240	289	240	340	240	289	340
480	240	289	240	340	240	289	340
481	240	289	240	340	240	289	340
482	240	289	240	340	240	289	340
483	240	289	240	340	240	289	340
484	240	289	240	340	240	289	340
485	240	289	240	340	240	289	340
486	240	289	240	340	240	289	340
487	240	289	240	340	240	289	340
488	240	289	240	340	240	289	340
489	240	289	240	340	240	289	340
490	240	289	240	340	240	289	340
491	240	289	240	340	240	289	340
492	240	289	240	340	240	289	340
493	240	289	240	340	240	289	340
494	240	289	240	340	240	289	340
495	240	289	240	340	240	289	340
496	240	289	240	340	240	289	340
497	240	289	240	340	240	289	340
498	240	289	240	340	240	289	340
499	240	289	240	340	240	289	340
500	241	290	241	340	241	290	340
501	241	290	241	340	241	290	340
502	241	290	241	340	241	290	340
503	241	290	241	340	241	290	340
504	241	290	241	340	241	290	340
505	241	290	241	340	241	290	340
506	241	290	241	340	241	290	340
507	241	290	241	340	241	290	340
508	241	290	241	340	241	290	340
509	241	290	241	340	241	290	340
510	241	290	241	340	241	290	340
511	241	290	241	340	241	290	340
512	241	290	241	340	241	290	340
513	241	290	241	340	241	290	340
514	241	290	241	340	241	290	340
515	241	290	241	340	241	290	340
516	241	290	241	340	241	290	340
517	241	290	241	340	241	290	340
518	241	290	241	340	241	290	340
519	241	290	241	340	241	290	340
520	241	290	241	340	241	290	340
521	241	290	241	340	241	290	340
522	242	291	242	340	242	291	340
523	242	291	242	340	242	291	340
524	242	291	242	340	242	291	340
525	242	291	242	340	242	291	340
526	242	291	242	340	242	291	340
527	242	291	242	340	242	291	340
528	242	291	242	340	242	291	340
529	242	291	242	340	242	291	340
530	242	291	242	340	242	291	340
531	242	291	242	340	242	291	340
532	242	291	242	340	242	291	340
533	242	291	242	340	242	291	340
534	242	291	242	340	242	291	340
535	242	291	242	340	242	291	340
536	242	291	242	340	242	291	340
537	242	291	242	340	242	291	340
538	242	291	242	340	242	291	340
539	242	291	242	340	242	291	340
540	242	291	242	340	242	291	340
541	242	291	242	340	242	291	340
542	242	291	242	340	242	291	340
543	242	291	242	340	242	291	340
544	242	291	242	340	242	291	340
545	242	291	242	340	242	291	340
546	242	291	242	340	242	291	340
547	242	291	242	340	242	291	340
548	242	291	242	340	242	291	340
549	242	291	242	340	242	291	340
550	242	291	242	340	242	291	340
551	242	291	242	340	242	291	340
552	242	291	242	340	242	291	340
553	242	291	242	340	242	291	340
554	242	291	242	340	242	291	340
555	242	291	242	340	242	291	340
556	242	291	242	340	242	291	340
557	242	291	242	340	242	291	340
558	242	291	242	340	242	291	340
559	242	291	242	340	242	291	340
560	242	291	242	340	242	291	340
561	242	291	242	340	242	291	340
562	242	291	242	340	242	291	340
563	242	291	242	340	242	291	340
564	242	291	242	340	242	291	340
565	242	290	242	340	242	290	340
566	242	289	242	340	242	289	340
567	242	289	242	340	242	289	340
568	242	289	242	340	242	289	340
569	242	289	242	340	242	289	340
570	242	289	242	340	242	289	340
571	242	289	242	340	242	289	340
572	241	288	241	340	241	288	340
573	241	288	241	340	241	288	340
574	241	288	241	340	241	288	340
575	241	288	241	340	241	288	340
576	242	289	242	340	242	289	340
577	242	289	242	340	242	289	340
578	242	289	242	340	242	289	340
579	242	289	242	340	242	289	340
580	242	289	242	340	242	289	340
581	242	289	242	340	242	289	340
582	242	289	242	340	242	289	340
583	242	289	242	340	242	289	340
584	242	289	242	340	242	289	340
585	242	289	242	340	242	289	340
586	242	289	242	340	242	289	340
587	242	289	242	340	242	289	340
588	242	289	242	340	242	289	340
589	242	289	242	340	242	289	340
